address,Business,Damage,pid
801 LAKE ST W,Speedway,Destroyed,04-028-24-11-0183
815 CEDAR AVE S,Go Puff,Destroyed,25-029-24-33-0159
815 CEDAR AVE S,Max It Pawn,Destroyed,25-029-24-33-0159
815 CEDAR AVE S,Midnight Cycle and Speed,Destroyed,25-029-24-33-0159
919 LAKE ST E,US Bank,Destroyed,02-028-24-21-0197
921 WEST BROADWAY,Flora's Hair Design,Destroyed,1602924140196
923 WEST BROADWAY,Olympic Cafe,Destroyed,1602924140196
1010 LAKE ST E #TRACT L,Family Dollar,Severe,35-029-24-34-0138
200 LAKE ST W,Walgreens,Severe, 34-029-24-34-0258
2124 LAKE ST E,Hi Lake Shopping Center,Severe,3602924340074
2136 LAKE ST E,Dollar General,Severe,3602924340074
224 LAKE ST W,Master Collision,Severe,34-029-24-34-0293
2500 LAKE ST E,Target,Severe,36-029-24-43-0084
2650 Wells Fargo Way,Wells Fargo,Severe,3602924430060
2700 LAKE ST E,Hennepin Healthcare East,Severe,32-029-24-43-0041
2700 LAKE ST E,Guzior Armbrecht Maher,Severe,32-029-24-43-0041
2700 LAKE ST E,Denny's,Severe,32-029-24-43-0041
2700 LAKE ST E,Coliseum,Severe,32-029-24-43-0041
2700 LAKE ST E #1300,NULL,Severe,32-029-24-43-0041
2716 LAKE ST E,Office Building,Severe,36-029-24-43-0090
2740 MINNEHAHA AVE #100,GM Tobacco,Severe,3602924340153
2800 LAKE ST E,US Bank,Severe,36-029-24-44-0192
2801 LYNDALE AVE S,Marathon gas station,Severe,34-029-24-33-0176
2858 26TH AVE S,Dollar Tree,Severe,3602924430093
2872 26TH AVE S,Minnesota Transitions Charter School,Severe,3602924430093
2900 CHICAGO AVE,Chicago lake dentist,Severe,3502924330193
2912 28TH AVE S,Construction for Apartments,Severe,3602924430100
2928 CHICAGO AVE,U7- nails,Severe,35-029-24-33-0105
3000 MINNEHAHA AVE,MPD 3rd Precinct,Severe,01-028-24-12-0129
3017 27TH AVE S,Migizi,Severe,01-028-24-12-0093
3031 NICOLLET AVE,Subway,Severe,03-028-24-12-0162
3037 27TH AVE S,United Stares Post Office,Severe,01-028-24-12-0104
4740 CEDAR AVE S,Speedway,Severe,14-028-24-11-0088
5428 LYNDALE AVE S,Walgreens,Severe,21-028-24-11-0211
610 LAKE ST E,Good year,Severe,35-029-24-33-0163
800 LAKE ST E,T-Mobile,Severe,06-117-22-42-0042
804 LAKE ST E,Urban 29,Severe,3602924430104
810 LAKE ST E,Footlocker,Severe,35-029-24-34-0126
2833 HENNEPIN AVE,Tobacco / Tibet Store,Medium,3302924430039
2218 LAKE ST E,Little Caesars,Medium,3602924340074
620 LAKE ST E,Erik’s auto,Medium,3502924330152
2740 MINNEHAHA AVE #140,K Nails and Spa,Medium,3602924340152
1300 LAKE ST W,Target,Medium,3502924430022
3031 NICOLLET AVE,Dollar store,Medium,302824120162
2106 LAKE ST E,CitiTrends,Medium,3602924340074
3031 NICOLLET AVE,Stop n shop,Medium,302824120162
Nicollet and 46th,Tobacco shop,Medium,
3031 NICOLLET AVE,Nails and laundry mat,Medium,302824120162
1542 LAKE ST E,T mobile,Medium,3502924440206
721 LAKE ST E,Comunidades latinas servicio,Medium,202824220201
2872 26TH AVE S,2872 26th Ave S,Medium,3602924430093
2740 MINNEHAHA AVE #120,Sally Beauty,Medium,3602924340152
2901 27TH AVE S,Schooner Tavern,Medium,3602924430082
2130 Lake St E Unit E,Hi Lake Liquor,Medium,3602924340074
2445 BLOOMINGTON AVE,Speedway,Medium,3502924140071
117 LAKE ST W,NULL,Medium,302824210079
1010 LAKE ST W,CVS pharmacy,Medium,3302924440133
4547 HIAWATHA AVE,Walgreens,Medium,702823340142
115 LAKE ST E,Nail and skin care,Medium,302824120148
704 LAKE ST E,Icc wireless,Medium,3502924330092
1311 LAKE ST E,Lupita,Medium,202824120025
2852 26TH AVE S #10,Planet Fitness,Medium,3602924430088
2130 Lake St Suite A,,Medium,3602924340074
2850 26TH AVE S,Cub,Medium,3602924430088
2501 HENNEPIN AVE,Speedway,Medium,3302924130013
2929 27th Ave N,Aldi,Medium,3602924430104
111 LAKE ST E,Haha hi buffet,Medium,302824120146
106 3RD ST N,,Medium,2202924410057
2130 LAKE ST E,Pineda Tacos,Medium,3602924340074
2872 26TH AVE S,MTS Secondary,Medium,3602924430093
2112 LAKE ST E,HD Laundry,Medium,3602924340074
320 LAKE ST E,BMO Harris Bank,Medium,3402924440212
2216 LAKE ST E,Teppanyaki Grill,Medium,3602924340074
2941 30TH AVE S,A auto mall,Medium,3602924440197
919 LAKE ST E,Mid town exchange,Medium,202824210197
1 LAKE ST E,Office store,Medium,302824120161
2743 26TH AVE S,Shubert and Hoey Advertizing,Medium,3602924420018
2925 27th Ave,Quruxley,Medium,3602924430104
5428 LYNDALE AVE S,Walgreens,Medium,2102824110211
2740 MINNEHAHA AVE,Total Post Plus,Medium,3602924340152
2204 LAKE ST E,No name Retail Space,Medium,3602924340074
2144 44TH AVE N,"Boost Mobile, UHAUL, Tom's barber shop, Mail box solutions",Medium,1411821120072
10 LAKE ST W,Kmart,Medium,3402924430141
2856 26TH AVE S,Twin City Laundromat,Medium,3602924430093
2912 28TH AVE S,Universal Academy,Medium,3602924430104
825 LAKE ST E,Chicago lake liquor,Medium,202824210076
2740 MINNEHAHA AVE,1st Cup Cafe,Medium,3602924340152
2001 NICOLLET AVE,CVS pharmacy,Medium,3402924120180
3018 HENNEPIN AVE,Apple,Medium,402824210006
2130 LAKE ST E,J Klips,Medium,3602924340074
3648 NICOLLET AVE,,Medium,302824340017
3008 COLFAX AVE S,NULL,Medium,402824110089
2715 26TH ST E,Annex,Medium,3602924410104
349 East Lake Rd,Yusof Center,Medium,
30 7TH ST S,Marriott,Minor,
2410 38TH ST E,,Minor,
818 WEST BROADWAY,Burger King,Minor,
2425 WEST BROADWAY,5 Corners Market,Minor,
3402 CEDAR AVE S,Mirror Lab Studios,Minor,
1417 LAKE ST E,Super mercado,Minor,
4200 LAKE ST E,Northwest Graphic Supply,Minor,
2606 PENN AVE N,Penn Gas Stop,Minor,
4059 CHICAGO AVE,Qi House,Minor,
4251 NICOLLET AVE,Fun Sisters,Minor,
1014 2ND AVE S,Hilton,Minor,
1518 LAKE ST E,Mexicans Grocery,Minor,
610 LAKE ST E,Good Year,Minor,
3743 CEDAR AVE S,Five Element,Minor,
3744 CHICAGO AVE,Speedway,Minor,
45 7TH ST S #TRACT X,Candyland,Minor,
507 LAKE ST E,NULL,Minor,
3045 HENNEPIN AVE,CB 2,Minor,
2402 38TH ST E,Tom thumb,Minor,
81 9TH ST S #150,The News Room,Minor,
323 LAKE ST W,Uptown Pizza,Minor,
2207 LOWRY AVE N,The Lowry Cafe,Minor,
113 GRANT ST W,Greenway Liquors,Minor,
2920 CHICAGO AVE,Rest hair and nails,Minor,
3008 LYNDALE AVE S,Smitten Kitten / Caffreyâ€™s Cafe,Minor,
4001 LAKE ST E,Starr Automotive,Minor,
3219 PENN AVE N,Union Liquor Store,Minor,
3458 MINNEHAHA AVE,Reverb piano services,Minor,
3521 LAKE ST E,IUE-CWA union office,Minor,
611 LAKE ST W,Tweak the glam studio,Minor,
1830 FRANKLIN AVE E,Pourle Industries,Minor,
120 LAKE ST W,NULL,Minor,
2932 34TH AVE S,NA,Minor,
624 LAKE ST E,Adult Day center,Minor,
3024 SNELLING AVE,Allina Health,Minor,
3015 15th,Christ church,Minor,
1831 NICOLLET AVE,Boost mobile,Minor,
1703 LAKE ST E,Pasteleria Gama,Minor,
800 LASALLE AVE #213,,Minor,
198 ALDRICH AVE N,NULL,Minor,
4253 NICOLLET AVE,Restyle,Minor,
321 LAKE ST W,Paul’s Salon,Minor,
1111 HENNEPIN AVE,,Minor,
1515 GLENWOOD AVE,Vacant,Minor,
3060 EXCELSIOR BLVD,Wholefoods,Minor,
103 LAKE ST W,New horizon Day care,Minor,
3447 CEDAR AVE S,Brothers electric,Minor,
1607 HENNEPIN AVE,A & be bridal shop,Minor,
2019 EMERSON AVE N,a dave's lock and safe,Minor,
515 LAKE ST W,Progressive insurance,Minor,
611 LAKE ST W,Vida body works,Minor,
816 38TH ST E,H8P Customs,Minor,
West of Cub Foods,Bus Stop,Minor,
1400 NICOLLET AVE,,Minor,
213 9TH ST S,,Minor,
4604 MINNEHAHA AVE,Falls liquor store,Minor,
2748 HENNEPIN AVE,None,Minor,
2741 HENNEPIN AVE,Ace Hardware / My Sisterâ€™s Closet,Minor,
430 OAK GROVE ST,,Minor,
2543 NICOLLET AVE,,Minor,
3208 LAKE ST E,Car wash (no sign),Minor,
1604 LAKE ST E,Salvation army,Minor,
2451 NICOLLET AVE,Lucky jeweler and spy house coffee,Minor,
627 WEST BROADWAY,Walgreens,Minor,
2112 HENNEPIN AVE,The Lowry,Minor,
3115 PENN AVE N,Martial Arts,Minor,
4563 34TH AVE S,Bulls Horn,Minor,
4141 LYNDALE AVE N,Wells Fargo,Minor,
1 26TH ST E,Black Forest inn,Minor,
2601 LYNDALE AVE S,Aldi,Minor,
3404 CEDAR AVE S,Flamingos,Minor,
25 26TH ST E,Prodigal public house,Minor,
2831 12TH AVE S,?,Minor,
2933 LYNDALE AVE S,Muddy s water bar,Minor,
1001 NICOLLET MALL,,Minor,
1210 GLENWOOD AVE,Link,Minor,
3016 LAKE ST E,urban Forage winery,Minor,
3605 LAKE ST E,Crowned Diva hair salon,Minor,
812 38TH ST E,Twins barber,Minor,
902 WEST BROADWAY,"Litlle Ceasers, JJ fish and chicken",Minor,
1000 WEST BROADWAY,"Broadway Family Medicine, Beauty Supply, Yuan Yuan Restaraunt",Minor,
1512 como ave se,Blue Door,Minor,
1227 HENNEPIN AVE #4-C,Eliâ€™s Food & Cocktail,Minor,
2226 LAKE ST E,2226 Lake St E,Minor,
1204 LAKE ST E,Hayat,Minor,
,,Minor,
505 LAKE ST E,NULL,Minor,
2520 MINNEHAHA AVE,Lincoln School,Minor,
3542 LAKE ST E,House of Sleep store,Minor,
601 LAKE ST E,Midas,Minor,
3759 CHICAGO AVE,T mobile,Minor,
1103 LAKE ST W,Tires Plus,Minor,
3021 LAKE ST E,CarX Auto Service.,Minor,
216 7TH ST S,,Minor,
612 27TH ST E,Annaâ€™s salon,Minor,
1831 NICOLLET AVE,Tibet Kitchen Bar and Restaurant,Minor,
,Orpheum,Minor,
3730 CHICAGO AVE,Menswear market,Minor,
3104 SNELLING AVE,Boker’s Stamping,Minor,
906 HENNEPIN AVE,NULL,Minor,
2602 BLOOMINGTON AVE,Fabulous,Minor,
2015 LOWRY AVE N,New Rules - Shared workspace and Events Venue,Minor,
2602 BLOOMINGTON AVE,Empty,Minor,
3311 25TH ST E,Birchwood Cafe,Minor,
2555 EMERSON AVE S,,Minor,
3101 HENNEPIN AVE,Bridgewater Bank,Minor,
1120 WEST BROADWAY,Broadway Marathon Gas station,Minor,
9 FRANKLIN AVE W #201,Jimmy Johns,Minor,
1116 NICOLLET MALL,Atventure toynaround,Minor,
3448 42ND AVE S,Blue Door Pub Longfellow,Minor,
3258 MINNEHAHA AVE,Art studio,Minor,
400 WEST BROADWAY,Friedmans department STore,Minor,
1414 28TH ST W,The UPS Store & KinhDo restaurant,Minor,
3801 MINNEHAHA AVE,Super USA,Minor,
2122 WEST BROADWAY,The shop cloting,Minor,
2431 HENNEPIN AVE,New Horizonsâ€™s Academy,Minor,
4121 LAKE ST E,Family and Childrenâ€™s Clinic,Minor,
2448 HENNEPIN AVE,Holiday Station,Minor,
811 LASALLE AVE #203,The Gardner School,Minor,
3028 HENNEPIN AVE,Penzeys Spices,Minor,
3403 CEDAR AVE S,Hay ford auto,Minor,
1229 LAKE ST E,Comfort Services,Minor,
101 GRANT ST E,Substance Church,Minor,
811 LAKE ST E,NULL,Minor,
2608 BLOOMINGTON AVE,Abraham Auto,Minor,
3032 MINNEHAHA AVE,Arbeiter Brewing Co,Minor,
4154 FREMONT AVE N,,Minor,
1070 NICOLLET MALL,Devils Advocate,Minor,
2905 LAKE ST E,O’Reilly Auto Parts,Minor,
2711 FRANKLIN AVE E,Gargar Clinic & Urgent Care,Minor,
4031 26TH AVE S,,Minor,
3040 HENNEPIN AVE,Paper Source / Eyedeals / Salon Levant,Minor,
Park ave bridge over greenway,NULL,Minor,
524 5TH ST N,5th St Station,Minor,
1601 CEDAR LAKE PKWY,Ingebrestens,Minor,
1368 LASALLE AVE,Yoga fit,Minor,
1001 3RD AVE S,Sleep Number,Minor,
1600 LAKE ST E,NULL,Minor,
4250 NICOLLET AVE,United standards lab inc,Minor,
4559 34TH AVE S,Sena,Minor,
1106 LAKE ST E,Furniture city,Minor,
721 LAKE ST E,Career force,Minor,
1420 DOWLING AVE N,Year round outdoor adventure,Minor,
2006 WASHINGTON AVE N,Pappy's,Minor,
,Public Park bench,Minor,
1925 LYNDALE AVE S,Vacant,Minor,
1532 35TH ST E,Sams market and meats,Minor,
1117 MARQUETTE AVE #714,Bolero Flats,Minor,
2605 NICOLLET AVE,Glam doll,Minor,
2639 NICOLLET AVE,Kimâ€™s jewelry,Minor,
901 HENNEPIN AVE,Mercy,Minor,
3800 42ND AVE S,Riverview Theater,Minor,
601 NICOLLET MALL,Walgreens,Minor,
1112 LOWRY AVE N,Boost,Minor,
2603 BLOOMINGTON AVE,"Multiple Businesses—childcare, cellular store, adult day care",Minor,
2749 NICOLLET AVE,Green repair auto shop,Minor,
80 9TH ST S,The Melting Pot,Minor,
2124 FRANKLIN AVE E,Holiday,Minor,
4325 NICOLLET AVE,Carter health and up yoga,Minor,
608 2ND AVE S,Northstar Center,Minor,
222 9TH ST S,Campbell Mithun Tower,Minor,
4330 NICOLLET AVE,House Lift Remodeler,Minor,
3305 LAKE ST E,Soderbergs flowers,Minor,
2639 NICOLLET AVE,Chears Hearing aid,Minor,
416 LAKE ST E,Storage facility,Minor,
105 GRANT ST W,Rainbow Road,Minor,
4301 NICOLLET AVE,Apoy,Minor,
2901 LYNDALE AVE S,Lagos Tacos,Minor,
813 NICOLLET MALL,Panera,Minor,
3401 PENN AVE N,Greenway Homes Realty,Minor,
334 LAKE ST E,Brute Dental,Minor,
2510 NICOLLET AVE,Phuoc loc tho jeweler,Minor,
1238 LAKE ST E,Quarefoil Library,Minor,
4553 34TH AVE S,Freshly cut,Minor,
4000 LAKE ST E,El Norteno Mexican restaurant,Minor,
2833 13TH AVE S,Super Deli and Coffee Somali Market,Minor,
1315 12TH AVE N,Oluâ€™s Beginnings,Minor,
2403 LYNDALE AVE S,Clinche,Minor,
3701 Hiawatha ave s,Flair fountains,Minor,
1701 LAKE ST E,Dome nails,Minor,
4500 NICOLLET AVE,Hawkins Automotive,Minor,
3050 LAKE ST W #B,Metro PCS,Minor,
901 HENNEPIN AVE,The Gallery,Minor,
2124 WEST BROADWAY,TMJ Nails,Minor,
1635 HENNEPIN AVE,Four Seasons Dance Studio,Minor,
4157 CEDAR AVE S,Hamburgesas El Gordo,Minor,
4009 LAKE ST E,Studio MPLS graphic design,Minor,
2224 35TH ST E,Punk Rawk Labs,Minor,
2001 LYNDALE AVE S,Mortimers Bar,Minor,
4201 Lyndale Ave n,Joy luck,Minor,
4563 34TH AVE S,Bull horn,Minor,
3058 EXCELSIOR BLVD,MGM Wine & Spirits,Minor,
1830 38TH ST E,Duck duck coffee,Minor,
87 10TH ST S,The cpg,Minor,
710 LOWRY AVE N,A-sign printing,Minor,
4453 NICOLLET AVE,Locus Architecture,Minor,
3015 CHICAGO AVE,Laundrymat,Minor,
,Boost mobile,Minor,
3101 MINNEHAHA AVE,Elite Cleaners,Minor,
2415 NICOLLET AVE,,Minor,
733 MARQUETTE AVE,Sir Speedy,Minor,
501 LAKE ST E,NULL,Minor,
2700 UNIVERSITY AVE SE,Metro Petro,Minor,
706 2ND AVE S #227,Baker Building,Minor,
2211 LOWRY AVE N,Metro Check Cashing,Minor,
930 HENNEPIN AVE,,Minor,
3228 LAKE ST E,Precision Tune Auto Care,Minor,
651 NICOLLET MALL,Gaviidae Common,Minor,
1108 LAKE ST E,Michaels Apparel,Minor,
3207 37TH AVE S,Epworth UMC,Minor,
2715 WEST BROADWAY,Pair of  Dice Pizza,Minor,
2830 CEDAR AVE S,Childcare Center,Minor,
4237 NICOLLET AVE,Odds and Ends,Minor,
4222 LAKE ST E,American Rug Laundry.,Minor,
2125 GLENWOOD AVE,Penn-Wood Market,Minor,
1030 WEST BROADWAY,US Bank,Minor,
45 7TH ST S,Fire Lake Grill House & Cocktail Bar,Minor,
3044 PILLSBURY AVE,NULL,Minor,
3701 CHICAGO AVE,Millennium auto service,Minor,
2700 HENNEPIN AVE,Giordannos,Minor,
1428 NICOLLET AVE,The Nicollet Diner,Minor,
3201 SNELLING AVE,Blackmore Mfg,Minor,
3624 LAKE ST E,Family Dentistry,Minor,
1508 WEST BROADWAY,UnBank Check Cashing,Minor,
800 LASALLE AVE,890 lasalle,Minor,
3100 EXCELSIOR BLVD,My burger,Minor,
1831 NICOLLET AVE,Caring medical distributors,Minor,
5025 34TH AVE S,Oxendales Market,Minor,
3016 HENNEPIN AVE,Salons by JC,Minor,
4505 NICOLLET AVE,GeeTeez,Minor,
40 7TH ST S,Fhimaâ€™s Minneapolis,Minor,
332 LAKE ST E,ISA tattoos,Minor,
4452 NICOLLET AVE,N/a,Minor,
3652 CEDAR AVE S,Mei Hua Laundry,Minor,
200 WASHINGTON AVE N,,Minor,
4601 SNELLING AVE,Cub foods,Minor,
3932 CEDAR AVE S,Acanthus floral art,Minor,
401 LAKE ST W,NULL,Minor,
4737 HIAWATHA AVE,USA smoke shop and cigar,Minor,
109 7TH ST S,J&D Dental,Minor,
2743 NICOLLET AVE,Salon mai hoa,Minor,
2608 BLOOMINGTON AVE,Five Star Market,Minor,
2024 LYNDALE AVE N,Salvation Army,Minor,
2817 LYNDALE AVE S,Trustone financial,Minor,
2400 10TH AVE S,Skyline Market,Minor,
1368 LASALLE AVE,Eggys Minneapolis Diner,Minor,
4307 SHERIDAN AVE N,Linden hills jewelry,Minor,
2700 LYNDALE AVE S,Fire and Nice,Minor,
201 LAKE ST W,Minnesota Food Grocery,Minor,
3800 ELLIOT AVE,,Minor,
80 8TH ST S,IDS Tower,Minor,
3342 NICOLLET AVE,Burger King,Minor,
600 LAKE ST E,Rapid oil change,Minor,
2500 27TH AVE S,SKOL Liquor Store,Minor,
818 LAKE ST E,Handing Restaurant,Minor,
1200 NICOLLET MALL,,Minor,
17 26TH ST E,Little Tijuana,Minor,
600 NICOLLET MALL,Marshalls,Minor,
5201 BRYANT AVE N,No signs,Minor,
4400 NICOLLET AVE,Northrup roofing and remodeling work,Minor,
3555 CHICAGO AVE,Pie & Mighty,Minor,
2643 NICOLLET AVE,Daalo Grill,Minor,
3110 LAKE ST E,McDonalds,Minor,
4800 CHICAGO AVE,Pizza hut,Minor,
3807 FREMONT AVE N,Super USA,Minor,
524 5TH ST N,Be The Match,Minor,
5219 MINNEHAHA AVE,Metro Motors,Minor,
404 LAKE ST W,Liquor store,Minor,
2228 LAKE ST E #A,TwinCare Dental,Minor,
,Subway,Minor,
311 LAKE ST W,Willo coffee,Minor,
705 42ND AVE N,"Metro PCS, clientele barber, vintage nail shop, ",Minor,
645 HENNEPIN AVE,Fogo de Chao,Minor,
212 7TH ST S,Dan Kellyâ€™s Pub,Minor,
3012 27TH AVE S,Wilson’s Law Group,Minor,
2619 BLOOMINGTON AVE,N/a,Minor,
2237 38TH ST E,Womenâ€™s Workshop,Minor,
3601 LAKE ST E,Merlins Rest,Minor,
2227 35TH ST E,,Minor,
607 LAKE ST W,Dulonos pizza,Minor,
5200 34TH AVE S,Twin Cities Home Rental/Twin Cities Builders/1 Source Realty,Minor,
731 HENNEPIN AVE,Union,Minor,
1100 NICOLLET MALL,Caribou coffee and Einstein bagels,Minor,
3731 CHICAGO AVE,Just Turkey,Minor,
3014 UNIVERSITY AVE SE,WF Bank,Minor,
5415 LYNDALE AVE S,Auto zone,Minor,
3320 54TH ST E,Brushed monkey,Minor,
1418 LAKE ST E,Qaribuni Coffee,Minor,
3700 BRYANT AVE N,21st century,Minor,
2615 BLOOMINGTON AVE,?,Minor,
1833 38TH ST E,Everetts Food,Minor,
4151 FREMONT AVE N,Camden Market,Minor,
3900 LAKE ST E,Peppers and Fries,Minor,
913 CEDAR AVE S,The caboose and The Joint,Minor,
800 1/2 MARQUETTE AVE,RSM Plaza,Minor,
2927 LAKE ST E,Halwo Kismayo Bakery,Minor,
3100 LYNDALE AVE N,Bangkok Market,Minor,
3500 BLOOMINGTON AVE,Lakes area Realty,Minor,
3601 CHICAGO AVE,,Minor,
3242 LAKE ST W,Sprint,Minor,
2217 LYNDALE AVE S,Tattoo Shop,Minor,
225 6TH ST S,Capella Tower,Minor,
2833 LYNDALE AVE S,The Murals of Lyn Lake,Minor,
2648 WEST BROADWAY,Lao America,Minor,
3741 CHICAGO AVE,,Minor,
,Target HQ,Minor,
2720 UNIVERSITY AVE SE,Vacant space next to State Farm Ins.,Minor,
2645 HENNEPIN AVE,Saint Sabrinaâ€™s,Minor,
3343 COLFAX AVE N,,Minor,
1600 LAKE ST W,Barbette,Minor,
3333 LAKE ST E,NAPA,Minor,
2221 WEST BROADWAY,El Amin's fish house,Minor,
1526 LAKE ST E,Taqueria birrieria,Minor,
2100 HENNEPIN AVE,Billboard facing Hennepin,Minor,
505 LAKE ST W,Sherwin Williams,Minor,
2200 LYNDALE AVE S,Speedway,Minor,
81 8TH ST S,,Minor,
2620 NICOLLET AVE,Trams hairstyling,Minor,
3335 COLFAX AVE N,,Minor,
3320 54TH ST E,Book Trader & Curiousity Shop,Minor,
4601 LYNDALE AVE N,Camden Tavern & Grill,Minor,
5010 34TH AVE S,McDonalds Liquors,Minor,
1000 CURRIE AVE W,,Minor,
,Truong thanh,Minor,
4751 CHICAGO AVE,Rue 48 Salon,Minor,
3332 COLFAX AVE S,,Minor,
3800 LAKE ST W,Speedway,Minor,
Glen wood and Newton,Rogers Market and Deli,Minor,
4300 LAKE ST E,Bungalow Club,Minor,
,Dakota,Minor,
3506 CHICAGO AVE,Frost beard studio,Minor,
84 10TH ST S,ps: Portu Sunberg,Minor,
2819 NICOLLET AVE,Spirit rock winery,Minor,
330 LAKE ST E,Pineda Taco,Minor,
8 43RD ST W,Offices,Minor,
1439 LAKE ST W,Burton,Minor,
2145 LOWRY AVE N,M & T beauty supply / American United Care PCA,Minor,
3000 HENNEPIN AVE,,Minor,
2800 CHICAGO AVE,NULL,Minor,
115 LAKE ST E,Chinese express,Minor,
300 6TH ST S,Hennepin County Government Center,Minor,
2540 NICOLLET AVE,,Minor,
3801 NICOLLET AVE,Boost Mobile,Minor,
1301 WEST BROADWAY,Popeyes Louisiana Kitchen,Minor,
3401 COLFAX AVE N,Detached garage,Minor,
90 7TH ST S,Wells Fargo Center,Minor,
4359 MINNEHAHA AVE,Parkway pizza,Minor,
1312 LAKE ST E,Na,Minor,
4611 LAKE ST E,Infinite Graphics,Minor,
2608 NICOLLET AVE,Peninsula,Minor,
3744 CEDAR AVE S,,Minor,
2639 NICOLLET AVE,Kimâ€™s jewelry,Minor,
3012 LYNDALE AVE S,Up Down,Minor,
4439 HIAWATHA AVE,Construction Business,Minor,
3131 MINNEHAHA AVE,Bradshaw funeral services,Minor,
2126 WEST BROADWAY,Dr L A Otieno Dentis,Minor,
2801 HENNEPIN AVE,Potbelly,Minor,
3701 CEDAR AVE S,Madinaâ€™s Automotive,Minor,
4509 34TH AVE S,Frame adelic,Minor,
3757 CEDAR AVE S,,Minor,
824 HENNEPIN AVE,Brave new workshop,Minor,
3616 LAKE ST E,Global Language Connections,Minor,
1910 1ST AVE S,,Minor,
3508 LAKE ST E,International Cuisine,Minor,
1407 NICOLLET AVE,MusicBox,Minor,
3258 MINNEHAHA AVE,Two Bettys Green Cleaning,Minor,
3207 LAKE ST E,Jardin academy,Minor,
4556 34TH AVE S,Lakes Landscape Service,Minor,
3405 LAKE ST E,Kennedy transmission,Minor,
513 LAKE ST E,El amor fashion,Minor,
207 9TH ST S,MinnMed,Minor,
